iteracion,particula,cv_accuracy,hidden_layer_sizes,activation,solver,learning_rate_init,alpha
9,2,0.9694835680751174,"(71, 38)",tanh,adam,0.0005442662899654844,0.0005775079442323846
9,3,0.971830985915493,"(78, 34)",tanh,adam,0.0008266097096870035,8.61287313093276e-05
9,4,0.971830985915493,"(71, 30)",tanh,adam,0.0013670615266285979,0.0007144560377070441
9,5,0.9812206572769954,"(60, 64)",tanh,adam,0.019994602965926533,0.000239684562281123
9,6,0.9741784037558686,"(68, 29)",tanh,adam,0.0013557083142349312,0.0002689007229712054
9,7,0.9671361502347419,"(70, 47)",tanh,adam,0.003939226212969374,1.9784514974470404e-05
9,8,0.9741784037558686,"(66, 31)",tanh,adam,0.000626228643584422,2.4548834122838044e-05
9,9,0.9765258215962441,"(78, 19)",tanh,adam,0.00025210360646473,0.00032305826201520785
9,10,0.9741784037558686,"(74, 37)",tanh,adam,0.007128922432496539,6.721999071894153e-05
10,1,0.9694835680751174,"(54, 30)",tanh,adam,0.008300446629239655,0.00031174849392712564
10,2,0.971830985915493,"(62, 46)",tanh,adam,0.0030606342675562528,0.0006395237509085932
10,3,0.9741784037558686,"(59, 44)",logistic,adam,0.0011481250436374824,5.556078896190661e-05
10,4,0.9671361502347419,"(49, 36)",tanh,adam,0.001477743761128863,0.00022536333165223664
10,5,0.9788732394366196,"(67, 48)",tanh,sgd,0.02666690646142456,0.0004841573239832098
10,6,0.9765258215962441,"(66, 45)",tanh,adam,0.007059704565626707,9.69138486234171e-05
10,7,0.9765258215962441,"(54, 31)",tanh,adam,0.003855395647029468,0.00019784514974470406
10,8,0.9741784037558686,"(66, 38)",tanh,adam,0.003521542453054187,0.000117158823894751
10,9,0.9671361502347416,"(82, 22)",tanh,adam,0.0014176827614464252,9.239702165838676e-05
10,10,0.9741784037558686,"(67, 23)",tanh,adam,0.006749741969506588,0.0006721999071894153
11,1,0.9765258215962441,"(52, 30)",tanh,adam,0.001476051333490386,0.0002554957186836802
11,2,0.971830985915493,"(64, 55)",tanh,adam,0.0005442662899654844,6.395237509085932e-05
11,3,0.9765258215962441,"(68, 38)",tanh,adam,0.0014802031564163677,0.00013925323990159673
11,4,0.9741784037558686,"(71, 40)",tanh,adam,0.004432684261342237,2.4961910977482248e-05
11,5,0.9788732394366196,"(68, 32)",tanh,adam,0.005988916410264714,0.0002914422694856463
11,6,0.9741784037558686,"(63, 50)",tanh,adam,0.001255412727001175,9.457168858435861e-05
11,7,0.971830985915493,"(59, 40)",tanh,adam,0.0015831927599497613,1.9784514974470404e-05
11,8,0.9788732394366196,"(51, 48)",tanh,adam,0.004755705506338143,1.17158823894751e-05
11,9,0.9694835680751174,"(82, 24)",tanh,adam,0.007972216027712963,0.00014643288627319226
11,10,0.9741784037558686,"(62, 28)",tanh,adam,0.006187147046977467,0.00023318783812374886
12,1,0.9765258215962441,"(80, 34)",tanh,adam,0.0011244923719461153,2.554957186836799e-05
12,2,0.9765258215962441,"(89, 39)",tanh,adam,0.0012675673872784064,9.459191579185152e-05
12,3,0.971830985915493,"(71, 26)",tanh,adam,0.008323794045301178,0.00032555039412205284
12,4,0.9741784037558686,"(57, 50)",tanh,adam,0.0007882551153148492,6.591351072096944e-05
12,5,0.9765258215962441,"(61, 48)",tanh,adam,0.005331605092444602,0.00017274684008287318
12,6,0.9788732394366196,"(62, 34)",tanh,adam,0.003053162421184052,0.00024759865657117647
12,7,0.9741784037558686,"(54, 29)",tanh,adam,0.0009025763627960597,0.00019784514974470406
12,8,0.9788732394366196,"(53, 34)",tanh,adam,0.00815980849011505,1.721484805660676e-05
12,9,0.9671361502347416,"(62, 20)",logistic,adam,0.0039123890234075455,0.0001321104050275588
12,10,0.9741784037558686,"(62, 34)",tanh,adam,0.006711992646123521,0.00015243419278624211
