fase,iteracion,abeja,accuracy,fitness,n_caracteristicas
observadoras,9,3,0.7455061494796594,0.6973580013315113,13
observadoras,9,2,0.847682119205298,0.7736080451312239,20
observadoras,9,6,0.4389782403027436,0.4019412032657066,10
observadoras,9,2,0.631031220435194,0.5643645537685273,18
observadoras,9,8,0.6461684011352885,0.6128350678019552,9
exploradoras,9,3,0.760643330179754,0.7124951820316059,13
exploradoras,9,10,0.4503311258278146,0.3910718665685553,16
empleadas,10,1,0.5260170293282876,0.47046147377273206,15
empleadas,10,2,0.8211920529801324,0.750821682609762,19
empleadas,10,3,0.7473982970671712,0.7029538526227268,12
empleadas,10,4,0.5203405865657521,0.4573776236027891,17
empleadas,10,5,0.5241248817407758,0.4685693261852202,15
empleadas,10,6,0.4389782403027436,0.4019412032657066,10
empleadas,10,7,0.4304635761589404,0.40083394652931076,8
empleadas,10,8,0.7757805108798487,0.7424471775465153,9
empleadas,10,9,0.7956480605487228,0.743796208696871,14
empleadas,10,10,0.45789971617786185,0.39493675321489885,17
observadoras,10,2,0.8410596026490066,0.7706892322786362,19
observadoras,10,2,0.8420056764427626,0.7716353060723922,19
observadoras,10,9,0.49952696310312206,0.4476751112512702,14
observadoras,10,9,0.8032166508987701,0.7513647990469183,14
observadoras,10,5,0.5033112582781457,0.45145940642629384,14
observadoras,10,3,0.7530747398297067,0.6975191842741512,15
observadoras,10,5,0.49290444654683063,0.44105259469497876,14
observadoras,10,3,0.7530747398297067,0.7012228879778549,14
observadoras,10,3,0.7653736991485336,0.7209292547040891,12
observadoras,10,9,0.7947019867549668,0.7465538386068187,13
empleadas,11,1,0.5279091769157994,0.47235362136024384,15
empleadas,11,2,0.8070009460737938,0.7366305757034234,19
empleadas,11,3,0.7559129612109745,0.7077648130628263,13
empleadas,11,4,0.5146641438032167,0.4591085882476611,15
empleadas,11,5,0.5089877010406811,0.4497284417814219,16
empleadas,11,6,0.5373699148533586,0.5003328778163216,10
empleadas,11,7,0.4389782403027436,0.409348610673114,8
empleadas,11,8,0.7965941343424787,0.7595570973054417,10
empleadas,11,9,0.4938505203405866,0.4457023721924384,13
empleadas,11,10,0.4427625354777673,0.383503276218508,16
observadoras,11,1,0.5156102175969726,0.4674620694488244,13
observadoras,11,2,0.8287606433301797,0.7583902729598093,19
observadoras,11,2,0.8211920529801324,0.750821682609762,19
observadoras,11,3,0.7625354777672658,0.7217947370265251,11
observadoras,11,3,0.759697256385998,0.7152528119415535,12
observadoras,11,8,0.7549668874172185,0.7216335540838852,9
observadoras,11,9,0.7899716177861873,0.7344160622306317,15
observadoras,11,8,0.8022705771050141,0.7615298363642734,11
observadoras,11,3,0.7540208136234626,0.7095763691790182,12
observadoras,11,6,0.5260170293282876,0.4852762885875469,11
exploradoras,11,2,0.8126773888363292,0.75341812957707,16
empleadas,12,1,0.521286660359508,0.47313851221135983,13
empleadas,12,2,0.8192999053926207,0.7637443498370651,15
empleadas,12,3,0.5052034058656575,0.46816636882862045,10
empleadas,12,4,0.5307473982970672,0.4751918427415116,15
empleadas,12,5,0.5468306527909177,0.48757139353165846,16
empleadas,12,6,0.5279091769157994,0.4908721398787624,10
empleadas,12,7,0.44181646168401134,0.41589053575808543,7
empleadas,12,8,0.793755912961211,0.7567188759241739,10
empleadas,12,9,0.7786187322611163,0.7230631767055608,15
empleadas,12,10,0.4370860927152318,0.37782683345597257,16
observadoras,12,8,0.793755912961211,0.7567188759241739,10
observadoras,12,2,0.7956480605487228,0.743796208696871,14
observadoras,12,2,0.8164616840113529,0.7646098321595011,14
observadoras,12,3,0.7540208136234626,0.7095763691790182,12
observadoras,12,8,0.7880794701986755,0.743635025754231,12
observadoras,12,2,0.7814569536423841,0.7333088054942359,13
observadoras,12,9,0.8051087984862819,0.7495532429307263,15
observadoras,12,2,0.5279091769157994,0.47976102876765125,13
observadoras,12,2,0.5279091769157994,0.47976102876765125,13
observadoras,12,8,0.7994323557237465,0.7549879112793021,12
exploradoras,12,1,0.532639545884579,0.4844913977364308,13
exploradoras,12,9,0.510879848628193,0.46643540418374857,12
empleadas,13,1,0.5279091769157994,0.47605732506394755,14
empleadas,13,2,0.8192999053926207,0.7637443498370651,15
empleadas,13,3,0.7814569536423841,0.7370125091979396,12
empleadas,13,4,0.5089877010406811,0.45713584918882927,14
empleadas,13,5,0.5364238410596026,0.4734608780966396,17
empleadas,13,6,0.5316934720908231,0.4909527313500823,11
empleadas,13,7,0.4380321665089877,0.40840253687935807,8
empleadas,13,8,0.7880794701986755,0.743635025754231,12
empleadas,13,9,0.5004730368968779,0.4523248887487298,13
empleadas,13,10,0.4370860927152318,0.37782683345597257,16
observadoras,13,3,0.78240302743614,0.7416622866953992,11
observadoras,13,9,0.5203405865657521,0.47219243841760394,13
observadoras,13,8,0.7682119205298014,0.7311748834927643,10
observadoras,13,2,0.815515610217597,0.7673674620694488,13
observadoras,13,2,0.8174077578051088,0.765555905953257,14
observadoras,13,3,0.760643330179754,0.723606293142717,10
observadoras,13,1,0.521286660359508,0.47684221591506354,12
observadoras,13,2,0.8145695364238411,0.7590139808682855,15
observadoras,13,1,0.5298013245033113,0.47794947265145943,14
observadoras,13,2,0.8448438978240302,0.7929920459721784,14
exploradoras,13,8,0.49290444654683063,0.44105259469497876,14
empleadas,14,1,0.5184484389782403,0.47030029083009217,13
empleadas,14,2,0.815515610217597,0.7673674620694488,13
empleadas,14,3,0.783349101229896,0.7463120641928589,10
empleadas,14,4,0.5193945127719962,0.460135253512737,16
empleadas,14,5,0.5449385052034059,0.48938294964785034,15
empleadas,14,6,0.5260170293282876,0.4852762885875469,11
empleadas,14,7,0.43614001892147586,0.41391779669925366,6
empleadas,14,8,0.5241248817407758,0.4685693261852202,15
empleadas,14,9,0.5241248817407758,0.4722730298889239,14
empleadas,14,10,0.43330179754020814,0.3666351308735415,18
observadoras,14,3,0.8079470198675497,0.7672062791268089,11
observadoras,14,6,0.5175023651844843,0.4767616244437436,11
observadoras,14,3,0.8211920529801324,0.7767476085356879,12
observadoras,14,1,0.5269631031220435,0.4825186586775991,12
observadoras,14,9,0.5203405865657521,0.47219243841760394,13
observadoras,14,3,0.8164616840113529,0.7683135358632047,13
observadoras,14,4,0.48438978240302744,0.43253793055117556,14
observadoras,14,5,0.5203405865657521,0.46108132730649287,16
observadoras,14,2,0.8240302743614002,0.7684747188058446,15
observadoras,14,4,0.48344370860927155,0.4315918567574197,14
exploradoras,14,1,0.5004730368968779,0.4560285924524335,12
exploradoras,14,6,0.5137180700094608,0.4581625144539052,15
empleadas,15,1,0.5042573320719016,0.46351659133116085,11
empleadas,15,2,0.804162724692526,0.7560145765443779,13
empleadas,15,3,0.8060548722800378,0.7579067241318896,13
empleadas,15,4,0.4077578051087985,0.35590595325694663,14
empleadas,15,5,0.5193945127719962,0.460135253512737,16
empleadas,15,6,0.49195837275307475,0.4401065209012229,14
empleadas,15,7,0.4446546830652791,0.4187287571393532,7
empleadas,15,8,0.510879848628193,0.45902799677634115,14
empleadas,15,9,0.5156102175969726,0.4674620694488244,13
empleadas,15,10,0.5364238410596026,0.46975717439293596,18
observadoras,15,6,0.5127719962157048,0.45351273695644556,16
observadoras,15,2,0.8306527909176916,0.775097235362136,15
observadoras,15,9,0.5137180700094608,0.4581625144539052,15
observadoras,15,6,0.4985808893093661,0.4393216300501068,16
observadoras,15,3,0.8013245033112583,0.7531763551631101,13
observadoras,15,2,0.5477767265846736,0.4996285784365254,13
observadoras,15,2,0.8174077578051088,0.7618522022495532,15
observadoras,15,8,0.5080416272469253,0.448782367987666,16
observadoras,15,6,0.4957426679280984,0.44389081607624653,14
observadoras,15,2,0.8240302743614002,0.7684747188058446,15
exploradoras,15,2,0.6102175969725638,0.5509583377133046,16
exploradoras,15,4,0.5458845789971618,0.49403272714530994,14
empleadas,16,1,0.49952696310312206,0.4550825186586776,12
empleadas,16,2,0.618732261116367,0.5631767055608115,15
empleadas,16,3,0.8013245033112583,0.7531763551631101,13
empleadas,16,4,0.5316934720908231,0.4835453239426749,13
empleadas,16,5,0.5487228003784295,0.4968709485265776,14
empleadas,16,6,0.510879848628193,0.45902799677634115,14
empleadas,16,7,0.4389782403027436,0.409348610673114,8
empleadas,16,8,0.7615894039735099,0.6986264410105469,17
empleadas,16,9,0.5279091769157994,0.47235362136024384,15
empleadas,16,10,0.5591296121097445,0.49616664914678155,17
observadoras,16,6,0.5345316934720908,0.47897613791653526,15
observadoras,16,10,0.5269631031220435,0.4677038438627843,16
observadoras,16,4,0.5307473982970672,0.4751918427415116,15
observadoras,16,8,0.771996215704825,0.7127369564455658,16
observadoras,16,3,0.8051087984862819,0.7569606503381338,13
observadoras,16,2,0.5818353831598865,0.5299835313080347,14
observadoras,16,3,0.8013245033112583,0.7531763551631101,13
observadoras,16,2,0.6111636707663197,0.5519044115070605,16
observadoras,16,3,0.8287606433301797,0.7806124951820316,13
observadoras,16,2,0.6253547776726585,0.5735029258208066,14
empleadas,17,1,0.4295175023651845,0.39248046532814745,10
empleadas,17,2,0.6225165562913907,0.5669610007358351,15
empleadas,17,3,0.8334910122989593,0.7816391604471075,14
empleadas,17,4,0.5411542100283823,0.4855986544728267,15
