iteracion,hormiga,sse,silueta
10,14,1278.7607763668143,0.28594199657074876
10,15,1277.9284888446423,0.2848589191898987
11,1,1277.9284888446423,0.2848589191898987
11,2,1277.9284888446423,0.2848589191898987
11,3,1279.879772378435,0.2846566560907354
11,4,1277.9284888446423,0.2848589191898987
11,5,1278.7607763668143,0.28594199657074876
11,6,1277.9284888446423,0.2848589191898987
11,7,1279.879772378435,0.2846566560907354
11,8,1279.4125824662601,0.28326405043689146
11,9,1277.9284888446423,0.2848589191898987
11,10,1277.9284888446423,0.2848589191898987
11,11,1277.9284888446423,0.2848589191898987
11,12,1277.9284888446423,0.2848589191898987
11,13,1278.7607763668143,0.28594199657074876
11,14,1277.9284888446423,0.2848589191898987
11,15,1277.9284888446423,0.2848589191898987
12,1,1277.9284888446423,0.2848589191898987
12,2,1278.7607763668143,0.28594199657074876
12,3,1277.9284888446423,0.2848589191898987
12,4,1277.9284888446423,0.2848589191898987
12,5,1277.9284888446423,0.2848589191898987
12,6,1279.1581672872376,0.28484180782866697
12,7,1279.731123104636,0.2828367184667964
12,8,1277.9284888446423,0.2848589191898987
12,9,1277.9284888446423,0.2848589191898987
12,10,1277.9284888446423,0.2848589191898987
12,11,1277.9284888446423,0.2848589191898987
12,12,1278.7607763668143,0.28594199657074876
12,13,1277.9284888446423,0.2848589191898987
12,14,1277.9284888446423,0.2848589191898987
12,15,1277.9284888446423,0.2848589191898987
13,1,1277.9284888446423,0.2848589191898987
13,2,1277.9284888446423,0.2848589191898987
13,3,1277.9284888446423,0.2848589191898987
13,4,1277.9284888446423,0.2848589191898987
13,5,1277.9284888446423,0.2848589191898987
13,6,1277.9284888446423,0.2848589191898987
13,7,1280.2024812647958,0.2847062625590547
13,8,1278.8588141126709,0.28417325804604626
13,9,1277.9284888446423,0.2848589191898987
13,10,1277.9284888446423,0.2848589191898987
13,11,1277.9284888446423,0.2848589191898987
13,12,1277.9284888446423,0.2848589191898987
13,13,1277.9284888446423,0.2848589191898987
13,14,1277.9284888446423,0.2848589191898987
13,15,1277.9284888446423,0.2848589191898987
14,1,1279.1581672872376,0.28484180782866697
14,2,1277.9284888446423,0.2848589191898987
14,3,1277.9284888446423,0.2848589191898987
14,4,1277.9284888446423,0.2848589191898987
14,5,1277.9284888446423,0.2848589191898987
14,6,1277.9284888446423,0.2848589191898987
14,7,1277.9284888446423,0.2848589191898987
14,8,1277.9284888446423,0.2848589191898987
14,9,1277.9284888446423,0.2848589191898987
14,10,1277.9284888446423,0.2848589191898987
14,11,1278.370710967864,0.2846172685709642
14,12,1277.9284888446423,0.2848589191898987
14,13,1277.9284888446423,0.2848589191898987
14,14,1277.9284888446423,0.2848589191898987
14,15,1279.3453498772399,0.2845825170158851
15,1,1277.9284888446423,0.2848589191898987
15,2,1277.9284888446423,0.2848589191898987
15,3,1277.9284888446423,0.2848589191898987
15,4,1277.9284888446423,0.2848589191898987
15,5,1277.9284888446423,0.2848589191898987
15,6,1277.9284888446423,0.2848589191898987
15,7,1277.9284888446423,0.2848589191898987
15,8,1277.9284888446423,0.2848589191898987
15,9,1277.9284888446423,0.2848589191898987
15,10,1277.9284888446423,0.2848589191898987
15,11,1277.9284888446423,0.2848589191898987
15,12,1278.7607763668143,0.28594199657074876
15,13,1277.9284888446423,0.2848589191898987
15,14,1277.9284888446423,0.2848589191898987
15,15,1277.9284888446423,0.2848589191898987
16,1,1277.9284888446423,0.2848589191898987
16,2,1277.9284888446423,0.2848589191898987
16,3,1277.9284888446423,0.2848589191898987
16,4,1277.9284888446423,0.2848589191898987
16,5,1277.9284888446423,0.2848589191898987
16,6,1277.9284888446423,0.2848589191898987
16,7,1277.9284888446423,0.2848589191898987
16,8,1277.9284888446423,0.2848589191898987
16,9,1277.9284888446423,0.2848589191898987
16,10,1278.370710967864,0.2846172685709642
16,11,1277.9284888446423,0.2848589191898987
16,12,1277.9284888446423,0.2848589191898987
16,13,1277.9284888446423,0.2848589191898987
16,14,1277.9284888446423,0.2848589191898987
16,15,1277.9284888446423,0.2848589191898987
17,1,1277.9284888446423,0.2848589191898987
17,2,1277.9284888446423,0.2848589191898987
17,3,1277.9284888446423,0.2848589191898987
17,4,1277.9284888446423,0.2848589191898987
17,5,1277.9284888446423,0.2848589191898987
17,6,1277.9284888446423,0.2848589191898987
17,7,1277.9284888446423,0.2848589191898987
17,8,1277.9284888446423,0.2848589191898987
17,9,1277.9284888446423,0.2848589191898987
17,10,1277.9284888446423,0.2848589191898987
17,11,1277.9284888446423,0.2848589191898987
17,12,1277.9284888446423,0.2848589191898987
17,13,1277.9284888446423,0.2848589191898987
17,14,1277.9284888446423,0.2848589191898987
17,15,1277.9284888446423,0.2848589191898987
18,1,1277.9284888446423,0.2848589191898987
18,2,1277.9284888446423,0.2848589191898987
18,3,1277.9284888446423,0.2848589191898987
18,4,1277.9284888446423,0.2848589191898987
18,5,1277.9284888446423,0.2848589191898987
